Pz,Fp2,F7,Fp1,F4,F1,F3,F2,T3,Cz,T6,T5,T4,O2,C3,O1,C4,P3,P4,F8,Fz
-5.9701,0.90615,-2.0261,0.98522,0.0,0.98522,-0.06944,0.90615,-19.162001,-4.1128,0.13072,5.0081,0.84553,0.06568,-12.935,1.9968,-4.0871,-3.0,-0.06601,-1.0152,0.98522
-6.9652,-0.06472,-2.0261,-2.9557,-1.0152,-2.9557,-3.1944,-0.06472,1.943,-6.1028,2.0915,1.1057,0.84553,0.06568,-12.935,0.06441,-3.0821,-4.0,-0.06601,0.0,-0.98522
-3.9801,-2.0065,-0.06536,-4.9261,-1.0152,-4.9261,-2.1528,-2.0065,7.9732,-5.1078,6.9935,5.0081,5.7236,1.0509,-10.945,0.06441,0.93802,-2.0,1.9142,1.0152,0.0
-2.9851,-4.9191,0.91503,-5.9113,0.0,-5.9113,0.97222,-4.9191,-7.1022,-3.1177,3.0719,1.1057,9.626,-0.91954,-9.9502,-0.90177,1.943,-2.0,0.92409,-1.0152,1.9704
-0.99502,-4.9191,0.91503,-4.9261,2.0305,-4.9261,4.0972,-4.9191,-19.162001,-0.13267,4.0523,-2.7967,9.626,0.06568,-7.9602,-0.90177,4.9581,-1.0,1.9142,1.0152,4.9261
-2.9851,-6.8608,1.8954,-4.9261,2.0305,-4.9261,0.97222,-6.8608,-10.117,-1.1277,4.0523,-3.7724,8.6504,-2.89,-9.9502,-3.8003,4.9581,-4.0,-0.06601,1.0152,2.9557
-8.9552,-11.715,-0.06536,-7.8818,0.0,-7.8818,-3.1944,-11.715,-3.0821,-7.0978,-2.8105,-6.6992,4.748,-9.7865,-13.93,-7.6651,0.93802,-9.0,-6.9967,-1.0152,-1.9704
-10.945,-11.715,0.91503,-8.867,0.0,-8.867,-3.1944,-11.715,3.9531,-8.0929,-7.7124,-7.6748,0.84553,-11.757,-12.935,-9.5974,-2.0771,-10.0,-9.967,-1.0152,-1.9704
-9.9502,-7.8317,-0.06536,-5.9113,0.0,-5.9113,-1.1111,-7.8317,3.9531,-5.1078,-4.7712,-6.6992,2.7967,-10.772,-9.9502,-10.564,0.93802,-9.0,-6.9967,-1.0152,0.0
-8.9552,-5.89,-3.0065,-4.9261,2.0305,-4.9261,-2.1528,-5.89,1.943,-2.1227,-2.8105,-7.6748,3.7724,-11.757,-7.9602,-12.496,3.9531,-10.0,-5.0165,-1.0152,1.9704
-7.9602,-2.9773,-3.0065,-3.9409,4.0609,-3.9409,-1.1111,-2.9773,-9.1122,-0.13267,-3.7908,-4.748,2.7967,-9.7865,-6.9652,-10.564,4.9581,-8.0,-4.0264,2.0305,2.9557
-6.9652,-2.9773,-1.0458,-2.9557,4.0609,-2.9557,0.97222,-2.9773,-19.162001,-2.1227,-6.732,-5.7236,-1.1057,-6.8309,-5.9701,-9.5974,1.943,-8.0,-4.0264,1.0152,4.9261
-9.9502,-3.9482,-3.0065,-2.9557,4.0609,-2.9557,0.97222,-3.9482,-15.142,-5.1078,-7.7124,-13.528,-1.1057,-7.8161,-11.94,-15.395,-0.067,-14.0,-6.0066,0.0,3.9409
-10.945,-2.0065,-3.0065,-1.9704,4.0609,-1.9704,3.0556,-2.0065,-7.1022,-4.1128,-4.7712,-22.309,2.7967,-8.8013,-15.92,-18.292999,0.93802,-20.0,-5.0165,0.0,4.9261
-6.9652,0.90615,-4.9673,-3.9409,6.0914,-3.9409,2.0139,0.90615,-9.1122,-2.1227,-3.7908,-22.309,3.7724,-5.8456,-15.92,-14.428,2.9481,-18.0,-3.0363,4.0609,5.9113
-4.9751,-2.9773,-8.8889,-7.8818,6.0914,-7.8818,-1.1111,-2.9773,-24.188,-3.1177,-6.732,-15.48,-3.0569,-5.8456,-14.925,-9.5974,-1.072,-12.0,-6.0066,5.0761,4.9261
-2.9851,-5.89,-7.9085,-7.8818,3.0457,-7.8818,-1.1111,-5.89,-23.183001,-3.1177,-9.6732,-5.7236,-6.9593,-3.8752,-9.9502,-2.8341,-5.0921,-5.0,-6.9967,3.0457,2.9557
-2.9851,-6.8608,-3.9869,-6.8966,-2.0305,-6.8966,0.97222,-6.8608,-7.1022,-4.1128,-17.516001,-6.6992,-10.862,-7.8161,-7.9602,-3.8003,-8.1072,-3.0,-10.957,-1.0152,-0.98522
-4.9751,-5.89,-0.06536,-3.9409,-4.0609,-3.9409,4.0972,-5.89,-1.072,-4.1128,-24.379,-9.626,-14.764,-14.713,-7.9602,-11.53,-11.122,-6.0,-15.908,-3.0457,-0.98522
-8.9552,-5.89,-0.06536,-2.9557,-5.0761,-2.9557,4.0972,-5.89,-1.072,-5.1078,-26.34,-13.528,-14.764,-19.639,-8.9552,-18.292999,-15.142,-10.0,-21.848,-6.0914,-0.98522
-13.93,-7.8317,-3.0065,-4.9261,-5.0761,-4.9261,0.97222,-7.8317,-4.0871,-7.0978,-22.417999,-15.48,-9.8862,-22.594,-11.94,-20.225,-14.137,-14.0,-24.818001,-5.0761,-2.9557
-17.91,-8.8026,-3.0065,-6.8966,-5.0761,-6.8966,-2.1528,-8.8026,-16.146999,-7.0978,-18.497,-14.504,-5.0081,-23.58,-14.925,-20.225,-11.122,-15.0,-23.827999,-3.0457,-3.9409
-17.91,-8.8026,-4.9673,-6.8966,-4.0609,-6.8966,-4.2361,-8.8026,-26.198,-5.1078,-12.614,-9.626,-3.0569,-20.624001,-17.91,-20.225,-6.0972,-17.0,-18.878,-3.0457,-3.9409
-14.925,-6.8608,-3.9869,-2.9557,-3.0457,-2.9557,-2.1528,-6.8608,-14.137,-3.1177,-9.6732,-13.528,-6.9593,-17.667999,-14.925,-20.225,-3.0821,-18.0,-13.927,-5.0761,-0.98522
-12.935,-2.9773,-1.0458,0.98522,-1.0152,0.98522,3.0556,-2.9773,-16.146999,-1.1277,-6.732,-13.528,-5.9837,-18.653999,-8.9552,-21.191999,-1.072,-16.0,-9.967,-2.0305,1.9704
