Pz,Fp2,F7,Fp1,F4,F1,F3,F2,T3,Cz,T6,T5,T4,O2,C3,O1,C4,P3,P4,F8,Fz
17.91,14.498,16.601,20.690001,12.183,20.690001,12.431,14.498,9.9832,14.793,11.895,0.13008,19.382,8.9327,9.9502,2.963,23.049,10.0,17.756001,13.198,8.867
27.861,18.382,16.601,23.645,15.228,23.645,12.431,18.382,-12.127,16.783001,16.797001,5.0081,25.236,27.652,8.9552,22.287001,27.069,19.0,27.657,17.259001,9.8522
30.846001,23.236,18.562,26.601,17.259001,26.601,12.431,23.236,-3.0821,14.793,17.778,8.9106,17.431,35.534,9.9502,31.948,22.044001,22.0,28.646999,20.305,11.823
30.846001,26.149,20.523001,27.586,20.305,27.586,14.514,26.149,9.9832,14.793,26.601,12.813,17.431,35.534,11.94,33.881001,22.044001,24.0,30.627001,23.35,13.793
26.865999,26.149,20.523001,27.586,19.289,27.586,16.597,26.149,10.988,14.793,32.484001,15.74,27.187,29.622,13.93,30.982,23.049,23.0,30.627001,24.365,13.793
16.915001,19.353001,19.542,20.690001,12.183,20.690001,13.472,19.353001,14.003,10.813,21.698999,14.764,21.333,17.799999,11.94,22.287001,15.008,18.0,19.736,17.259001,7.8818
-0.99502,6.7314,17.582001,9.8522,1.0152,9.8522,4.0972,6.7314,8.9782,1.8574,2.0915,5.0081,4.748,2.0361,4.9751,6.8277,0.93802,4.0,0.92409,7.1066,-2.9557
-12.935,0.90615,13.66,3.9409,-1.0152,3.9409,0.97222,0.90615,-0.067,-1.1277,-4.7712,2.0813,-0.13008,-8.8013,0.99502,-5.7327,-3.0821,-4.0,-9.967,5.0761,-4.9261
-15.92,2.8479,14.641,4.9261,5.0761,4.9261,6.1806,2.8479,2.9481,4.8425,-4.7712,-0.84553,7.6748,-12.742,4.9751,-15.395,1.943,-8.0,-11.947,8.1218,1.9704
-17.91,2.8479,16.601,5.9113,7.1066,5.9113,7.2222,2.8479,11.993,6.8325,-4.7712,-11.577,3.7724,-18.653999,6.9652,-28.921,2.9481,-16.0,-13.927,7.1066,5.9113
-10.945,5.7605,18.562,10.837,8.1218,10.837,11.389,5.7605,16.013,12.803,-4.7712,-12.553,-0.13008,-16.683001,11.94,-32.785999,6.9682,-13.0,-7.9868,6.0914,8.867
1.99,8.6731,19.542,14.778,8.1218,14.778,14.514,8.6731,14.003,15.788,-2.8105,-9.626,1.8211,-6.8309,15.92,-20.225,10.988,-4.0,2.9043,5.0761,10.837
13.93,11.586,19.542,18.719,9.1371,18.719,15.556,11.586,0.93802,18.773001,6.0131,3.0569,3.7724,6.9622,15.92,0.06441,15.008,9.0,14.785,7.1066,11.823
25.871,15.469,20.523001,21.674999,12.183,21.674999,18.681,15.469,9.9832,22.753,13.856,9.8862,7.6748,24.695999,17.91,24.219,18.023001,22.0,25.677,9.1371,14.778
34.826,17.410999,20.523001,20.690001,16.243999,20.690001,20.764,17.410999,11.993,25.738001,20.719,16.715,17.431,38.488998,20.896,41.610001,23.049,31.0,33.597,12.183,18.719
32.835999,18.382,20.523001,21.674999,17.259001,21.674999,21.806,18.382,9.9832,25.738001,21.698999,18.667,16.455,38.488998,19.9,42.576,23.049,31.0,33.597,12.183,19.704
24.875999,20.323999,18.562,22.66,18.274,22.66,21.806,20.323999,20.034,21.757999,19.739,15.74,10.602,27.652,16.915001,30.982,18.023001,23.0,24.686001,11.168,20.690001
12.935,21.294001,14.641,21.674999,16.243999,21.674999,18.681,21.294001,14.003,14.793,12.876,5.0081,7.6748,13.859,9.9502,17.455999,12.998,13.0,13.795,10.152,17.733999
0.0,16.440001,11.699,15.764,10.152,15.764,12.431,16.440001,-2.0771,5.8375,5.0327,2.0813,3.7724,-2.89,1.99,1.0306,5.9631,2.0,1.9142,7.1066,11.823
-16.915001,9.644,6.7974,7.8818,4.0609,7.8818,5.1389,9.644,-7.1022,-2.1227,-5.7516,-10.602,-3.0569,-23.58,-5.9701,-17.327,-2.0771,-14.0,-13.927,3.0457,3.9409
-30.846001,7.7023,4.8366,3.9409,5.0761,3.9409,-0.06944,7.7023,-11.122,-7.0978,-13.595,-19.382,-1.1057,-41.313999,-9.9502,-34.717999,-6.0972,-25.0,-25.809,7.1066,1.9704
-35.820999,6.7314,-1.0458,1.9704,5.0761,1.9704,-3.1944,6.7314,-4.0871,-10.083,-19.476999,-21.333,2.7967,-51.166,-10.945,-47.278999,-7.1022,-32.0,-30.759001,8.1218,0.98522
-26.865999,4.7896,-3.0065,2.9557,2.0305,2.9557,-2.1528,4.7896,-14.137,-12.073,-24.379,-27.187,-1.1057,-41.313999,-12.935,-45.346001,-7.1022,-28.0,-22.837999,5.0761,0.0
-3.9801,8.6731,2.8758,9.8522,5.0761,9.8522,5.1389,8.6731,-11.122,-4.1128,-9.6732,-21.333,-2.0813,-10.772,-4.9751,-22.158001,0.93802,-10.0,-1.0561,8.1218,6.8966
17.91,12.557,2.8758,11.823,10.152,11.823,8.2639,12.557,0.93802,7.8275,6.0131,-5.7236,-0.13008,17.799999,2.9851,3.9291,9.9832,9.0,17.756001,11.168,10.837
